status,lead_time,lenght_of_stay,adult_count,child_count,available_units,completed_entry_forms_count,product_count,reservation_net_value,total_adr,espera_dias,espera_zona_roja,ratio_asistencia,recurrence,libere_community,bought_products,returning_inhabitant,mes_estancia,altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin,hrMedia,status_num,origin_direct_channel,origin_email,origin_in_person,origin_telephone,requested_category_Hostel room,requested_category_One bedroom apartment,requested_category_One bedroom apartment superior,requested_category_Studio,requested_category_Studio superior,requested_category_Three bedroom apartment,requested_category_Three bedroom apartment superior,requested_category_Two bedroom apartment,requested_category_Two bedroom apartment superior,asset_type_apartment,asset_type_hostel,brand_libere,business_segment_Business Individual,business_segment_Leisure Group,business_segment_Leisure Individual,business_segment_MICE Group,business_segment_MICE Individual,business_segment_Mid Stay,business_segment_Travel Group,business_segment_Travel Individual,rate_type_Mid Stay,rate_type_Non Refundable,estacion_estancia_Otoño,estacion_estancia_Primavera,estacion_estancia_Verano,provincia_BIZKAIA,provincia_CORDOBA,provincia_GIPUZKOA,provincia_GRANADA,provincia_MADRID,provincia_MALAGA,provincia_NAVARRA,provincia_VALENCIA
cancelled,54,1,3,0,135,0.0,0,48.39,48.39,54,1,,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,53,2,2,1,135,2.0,0,114.36,57.18,52,1,1.5,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,39,2,1,0,135,1.0,0,20.94,10.47,39,1,1.0,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,39,2,1,0,135,1.0,0,20.94,10.47,39,1,1.0,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
cancelled,36,3,2,2,135,0.0,0,57.22,19.07,36,1,,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,34,3,1,0,135,1.0,0,40.97,13.66,33,1,1.0,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,33,1,3,2,135,3.0,0,107.89,107.89,33,1,1.6666666666666667,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,30,2,1,0,135,1.0,0,27.11,13.56,29,1,1.0,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
cancelled,28,3,2,0,135,0.0,1,54.53,18.18,28,1,,1,no,yes,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
cancelled,24,4,4,0,135,0.0,0,59.12,14.78,24,1,,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,22,3,2,0,135,2.0,0,113.81,37.94,22,1,1.0,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
cancelled,21,4,4,0,135,0.0,0,91.73,22.93,21,1,,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
cancelled,17,3,3,1,135,3.0,2,86.91,28.97,16,1,1.3333333333333333,1,no,yes,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,1,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,14,1,1,0,135,1.0,1,19.81,19.81,13,1,1.0,1,no,yes,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,10,2,3,0,135,3.0,0,95.32,47.66,9,1,1.0,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,7,2,2,2,135,2.0,0,100.5,50.25,7,1,2.0,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,5,3,1,0,135,1.0,0,39.98,13.33,4,1,1.0,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
cancelled,4,2,2,2,135,0.0,1,87.09,43.55,4,1,,1,no,yes,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
checked_out,4,2,4,0,135,4.0,2,141.74,70.87,3,1,1.0,1,no,yes,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,4,1,2,2,135,2.0,0,55.93,55.93,3,1,2.0,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
checked_out,3,2,2,3,135,2.0,0,237.14,118.57,2,1,2.5,1,no,no,no,1,250,11.8,0.5,8.5,15.0,30.0,2.2,14.4,0.0,998.1,986.7,85.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
