ubicacion,fecha,puntuacion,titulo_comentario,comentario_negativo,comentario_positivo,etiquetas,cantidad_comentarios,nacionalidad
Vitoria,Escrito en 9 de noviembre de 2025,"8,0",Vanesa,Sofá cama un poco incómodo.,La ubicación a 10 minutos del centro.,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,13 comentarios,España
Vitoria,Escrito en 9 de noviembre de 2025,10,Gema,Si,Excelente,Viaje de ocio | Grupo | Apartamento de 1 dormitorio | Estancia de 2 noches | Enviado por móvil,11 comentarios,España
Vitoria,Escrito en 8 de noviembre de 2025,10,Felipe,La calefacción estaba muy alta,Muy confortable y con detalles,Viaje de ocio | Familia con niños pequeños | Apartamento de 2 dormitorios | Estancia de 1 noche | Enviado por móvil,5 comentarios,España
Vitoria,Escrito en 2 de noviembre de 2025,"8,0",Mar,,"Me gustó el detalle del regalo ,la caja con snack.",Viaje de ocio | Familia con niños pequeños | Apartamento Estudio | Estancia de 1 noche | Enviado por móvil,,
Vitoria,Escrito en 30 de agosto de 2025,"9,0",Ocaña,"Es sofá cama es muy incómodo e inapropiado para un establecimiento de estas características. El desayuno lo sirven en una cafetería independiente enfrente del edificio de apartamentos, aunque es cierto que desayunamos estupendamente.",Muy buena ubicación. Instalaciones nuevas y modernas. Muy acogedoras y a 5 minutos del centro de la ciudad.,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,9 comentarios,España
Vitoria,Escrito en 30 de agosto de 2025,"9,0",Gonzalo,El colchón no era muy cómodo,"Limpieza, acceso, ubicación",Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 4 noches | Enviado por móvil,8 comentarios,España
Vitoria,Escrito en 30 de agosto de 2025,10,Enrique,,"Ubicación muy buena, apartamento muy cómodo y excelente para viajar con perro",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 4 noches | Enviado por móvil,,
Vitoria,Escrito en 30 de agosto de 2025,"9,0",Rincon,,La instalación  y la atención muy bien.,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,,
Vitoria,Escrito en 29 de agosto de 2025,"8,0",Carol,La única pega es que me parece caro.,"Todo impecable, limpio, cómodo, bonito, muy céntrico, acceso fácil y automatizado...",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,2 comentarios,España
Vitoria,Escrito en 29 de agosto de 2025,10,Blanca,,"Limpieza, ubicación y silencio",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 3 noches | Enviado por móvil,,
Vitoria,Escrito en 29 de agosto de 2025,"9,0",Laura,Se echa en parte una cara visible del alojamiento.,La limpieza y ubicación.,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 5 noches,23 comentarios,España
Vitoria,Escrito en 29 de agosto de 2025,10,Omisae,,La limpieza,Viaje de negocios | Familia con niños pequeños | Apartamento de 2 dormitorios | Estancia de 12 noches | Enviado por móvil,,
Vitoria,Escrito en 28 de agosto de 2025,"8,0",Carlos,La cama del sofá,Ubicación,Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,73 comentarios,España
Vitoria,Escrito en 28 de agosto de 2025,"9,0",Gabriela,"El check-in,  para mi gusto, un poco tarde, hasta las 15:00h no es posible entrar y sin posibilidad de dejar las maletas en el hotel si llegas antes.","La comodidad del apartamento. Acogedor y amplio
Su ubicación.",Viaje de ocio | Familia con niños pequeños | Apartamento de 1 dormitorio | Estancia de 1 noche | Enviado por móvil,15 comentarios,España
Vitoria,Escrito en 28 de agosto de 2025,10,Gilberto,Nada,La comodidad y amplitud de las estancias,Viaje de ocio | Persona que viaja sola | Apartamento de 2 dormitorios | Estancia de 3 noches | Enviado por móvil,9 comentarios,España
Vitoria,Escrito en 27 de agosto de 2025,"9,0",Carlos,El sistema de apertura con código es incómodo,"Muy cerca del centro, limpio y comodo",Viaje de ocio | Familia con niños pequeños | Apartamento de 2 dormitorios | Estancia de 1 noche | Enviado por móvil,8 comentarios,España
